1,171-1029312-3038738,1029312,Women,44,Adult,12/4/2022,Dec
2,405-2183842-2225946,2183842,Women,29,Teenegar,12/4/2022,Dec
3,171-1641533-8921966,1641533,Women,67,Senior,12/4/2022,Dec
4,404-7490807-6300351,7490807,Women,20,Teenegar,12/4/2022,Dec
5,403-9293516-4577154,9293516,Women,62,Senior,12/4/2022,Dec
6,407-1298130-0368305,1298130,Men,49,Adult,12/4/2022,Dec
7,407-1298130-0368305,1298130,Women,23,Teenegar,12/4/2022,Dec
8,171-5561216-3398711,5561216,Women,70,Senior,12/4/2022,Dec
9,408-2935263-2935550,2935263,Women,75,Senior,12/4/2022,Dec
10,404-2648970-9042715,2648970,Women,43,Adult,12/4/2022,Dec
11,404-2648970-9042715,2648970,Women,76,Senior,12/4/2022,Dec
12,404-2648970-9042715,2648970,Women,45,Adult,12/4/2022,Dec
13,408-0265357-4939534,265357,Women,18,Teenegar,12/4/2022,Dec
14,403-9268874-7296313,9268874,Men,44,Adult,12/4/2022,Dec
15,407-0442660-2736366,442660,Women,52,Senior,12/4/2022,Dec
16,406-7482261-1657136,7482261,Women,18,Teenegar,12/4/2022,Dec
17,407-7039962-7080347,7039962,Men,30,Adult,12/4/2022,Dec
18,407-3422488-7373923,3422488,Women,48,Adult,12/4/2022,Dec
19,171-8974687-6745940,8974687,Men,24,Teenegar,12/4/2022,Dec
20,406-0244536-2177175,244536,Women,46,Adult,12/4/2022,Dec
21,404-4376789-3345166,4376789,Women,43,Adult,12/4/2022,Dec
22,408-1943310-9789160,1943310,Men,31,Adult,12/4/2022,Dec
23,403-0950590-5005155,950590,Men,30,Adult,12/4/2022,Dec
24,406-3935670-5720350,3935670,Women,19,Teenegar,12/4/2022,Dec
25,402-0398999-0011565,398999,Women,37,Adult,12/4/2022,Dec
